"ID","Address","Name","Size","Organization","Description","Units","X Address","Y Address","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1","4Z7907551R.kp","8D0907551F.kp","8D0907551G.kp"
"RLKRLDA","0x19866","rl threshold for slow LDR-intervention (adaptation)","8x1","8 Bit","-","%","0x197b6","-","Upm","-","0.75","40.0","1.0","80.25","99.75","0x6b","0x85","-","Rl-Schwelle für langsamen LDR-Eingriff (Adaption)","Rl-Schwelle für langsamen LDR-Eingriff (Adaption)","Rl-Schwelle für langsamen LDR-Eingriff (Adaption)"
"KFLDRAPP (AR 1A042)","0x19880","Map for LDR application without Md-coordination","8x8","8 Bit","-","%","0x19878","0x19870","% PED","Upm","0.390625","0.392157","40.0","0.0","98.828125","0x0","0xfd","-","Kennfeld für LDR-Applikation ohne Md-Koordination","Kennfeld für LDR-Applikation ohne Md-Koordination","Kennfeld für LDR-Applikation ohne Md-Koordination"
"DLUL","0x198f1","Delta pressure for overboost protection reset","1x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","20.0","20.0","0x2","0x2","-","Delta-Last für Überladeschutz-Reset","Delta-Last für Überladeschutz-Reset","Delta-Last für Überladeschutz-Reset"
"DLUL","0x198f1","Delta pressure for overboost protection reset","1x1","8 Bit","-","hPa","-","-","-","-","20.0","1.0","1.0","40.0","40.0","0x2","0x2","1/2","Delta-Last für Überladeschutz-Reset","Delta-Last für Überladeschutz-Reset","Delta-Last für Überladeschutz-Reset"
"EDLDRP","0x198f2","Control deviation threshold for LDR-positive deviation diagnosis","1x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","100.0","100.0","0xa","0xa","-","Schwelle Regelabweichung für Diagnose LDR-Regelabweichung positiv","Schwelle Regelabweichung für Diagnose LDR-Regelabweichung positiv","Schwelle Regelabweichung für Diagnose LDR-Regelabweichung positiv"
"EDLDRP","0x198f2","Control deviation threshold for LDR-positive deviation diagnosis","1x1","8 Bit","-","hPa","-","-","-","-","20.0","1.0","1.0","200.0","200.0","0xa","0xa","1/2","Schwelle Regelabweichung für Diagnose LDR-Regelabweichung positiv","Schwelle Regelabweichung für Diagnose LDR-Regelabweichung positiv","Schwelle Regelabweichung für Diagnose LDR-Regelabweichung positiv"
"KFDLULS (AR 1A0CB)","0x19905","Delta pressure for overboost protection diagnosis","8x8","8 Bit","-","hPa","0x198fd","0x198f5","hPa","RPM","5.0","10.0","40.0","250.0","1000.0","0x32","0xc8","-","Delta Druck für Überladeschutzdiagnose","Delta Druck für Überladeschutzdiagnose","Delta Druck für Überladeschutzdiagnose"
"KFDLULS (AR 1A0CB)","0x19905","Delta pressure for overboost protection diagnosis","8x8","8 Bit","-","hPa","0x198fd","0x198f5","hPa","RPM","10.0","10.0","40.0","500.0","2000.0","0x32","0xc8","1/2 axis
1/2 value","Delta Druck für Überladeschutzdiagnose","Delta Druck für Überladeschutzdiagnose","Delta Druck für Überladeschutzdiagnose"
"KFVPDKLD (AR 1A123, RS4 19B5A)","0x19957","Maximum permissible pressure ratio DK for ldra diagnosis?","8x8","8 Bit","-","-","0x1994f","0x19947","% DK","Upm","0.015625","0.392157","40.0","0.5","1.1875","0x20","0x4c","-","Max. zulässiges Druckverhältnis DK für ldra Diagnose","Max. zulässiges Druckverhältnis DK für ldra Diagnose","Max. zulässiges Druckverhältnis DK für ldra Diagnose"
"NDLDRAPU","0x1999a","RPM threshold for LDRA failure path and healing LDO failure path","2x1","8 Bit","-","Upm","0x19998","-","hPa","-","40.0","5.0","1.0","2600.0","3000.0","0x41","0x4b","-","Drehzahlschwelle für LDRA Fehlerpfad und Heilung LDO Fehlerpfad","Drehzahlschwelle für LDRA Fehlerpfad und Heilung LDO Fehlerpfad","Drehzahlschwelle für LDRA Fehlerpfad und Heilung LDO Fehlerpfad"
"SDLDRL (RS4 19BD9)","0x1999c","Minimum load  for DIA overboost protection","1x1","8 Bit","-","%","-","-","-","-","0.75","1.0","1.0","84.75","84.75","0x71","0x71","-","Mindestfuellung LDR fuer DIA LDR maximal zulaessiger Druck","Mindestfuellung LDR fuer DIA LDR maximal zulaessiger Druck","Mindestfuellung LDR fuer DIA LDR maximal zulaessiger Druck"
"TDLDRA (RS4 19BDA)","0x1999d","Time threshold for Dia LDR - control deviation","1x1","8 Bit","-","s","-","-","-","-","0.05","1.0","1.0","1.5","1.5","0x1e","0x1e","-","Zeitschwelle für Dia LDR - Regelabweichung","Zeitschwelle für Dia LDR - Regelabweichung","Zeitschwelle für Dia LDR - Regelabweichung"
"TDLDRA2 (RS4 19BDB)","0x1999e","Time threshold for Dia LDR - control deviation (B_mxldra)","1x1","8 Bit","-","s","-","-","-","-","0.05","1.0","1.0","0.65","0.65","0xd","0xd","-","Zeitschwelle für Dia LDR - Regelabweichung (B_mxldra)","Zeitschwelle für Dia LDR - Regelabweichung (B_mxldra)","Zeitschwelle für Dia LDR - Regelabweichung (B_mxldra)"
"TLDRA (RS4 19BE0)","0x1999f","Delay time for Dia LDR control deviation detection cycle flag","1x1","8 Bit","-","s","-","-","-","-","0.05","1.0","1.0","1.0","1.0","0x14","0x14","-","Verzögerungszeit fuer Dia LDR Regelabweichung Erkennung Zyklusflag","Verzögerungszeit fuer Dia LDR Regelabweichung Erkennung Zyklusflag","Verzögerungszeit fuer Dia LDR Regelabweichung Erkennung Zyklusflag"
"TULV1 (RS4 19BE1)","0x199a0","Overboost cutoff delay, ti attenuation step 1","1x1","8 Bit","-","s","-","-","-","-","0.05","1.0","1.0","0.5","0.5","0xa","0xa","-","Verzögerung Überladeabschneiden, ti-Ausblengung Stufe 1","Verzögerung Überladeabschneiden, ti-Ausblengung Stufe 1","Verzögerung Überladeabschneiden, ti-Ausblengung Stufe 1"
"TULV3 (RS4 19BE0)","0x199a1","Delay time for overboost failure recovery","1x1","8 Bit","-","s","-","-","-","-","0.05","1.0","1.0","1.0","1.0","0x14","0x14","-","Verzögerungszeit für Heilung Überladefehler","Verzögerungszeit für Heilung Überladefehler","Verzögerungszeit für Heilung Überladefehler"
"KFNLLNST (AR 1A273)","0x19a1b","Idle speed progression after start","6x6","8 Bit","-","U/min","0x1830a","0x18341","Grad C","s","10.0","0.75","1.0","0.0","1460.0","0x0","0x92","-","Drehzahlverlauf nach Start","Drehzahlverlauf nach Start","Drehzahlverlauf nach Start"
"NFSM (AR 1A2A4)","0x19a58","Desired idle speed when in gear","6x1","8 Bit","-","U/min","0x1830a","-","Grad C","-","10.0","0.75","1.0","700.0","1100.0","0x46","0x6e","-","Solldrehzahl Fahrstufenschalter ein","Solldrehzahl Fahrstufenschalter ein","Solldrehzahl Fahrstufenschalter ein"
"NLL2M_0_A","0x19a5f","Desired idle speed 2","6x1","8 Bit","-","U/min","0x1830a","-","Grad C","-","10.0","0.75","1.0","850.0","1150.0","0x55","0x73","-","","Solldrehzahl 2","Solldrehzahl 2"
"NLL2M_1_A","0x19a65","Desired idle speed 2","6x1","8 Bit","-","U/min","0x1830a","-","Grad C","-","10.0","0.75","1.0","750.0","1150.0","0x4b","0x73","-","","Solldrehzahl 2","Solldrehzahl 2"
"NLLM (AR 1A2D4)","0x19a7c","Desired idle speed","6x1","8 Bit","-","U/min","0x1830a","-","Grad C","-","10.0","0.75","1.0","700.0","1150.0","0x46","0x73","-","Solldrehzahl","Solldrehzahl","Solldrehzahl"
"TVFSREM (AR 1A378)","0x19af5","Motor temperature dependent delay time for drive in (R)","8x1","8 Bit","-","s","0x18323","-","Grad C","-","0.02","0.75","1.0","1.5","5.0","0x4b","0xfa","-","motortemperaturabhängige Verzögerungszeit für Fahrstufe ein (R)","motortemperaturabhängige Verzögerungszeit für Fahrstufe ein (R)","motortemperaturabhängige Verzögerungszeit für Fahrstufe ein (R)"
"RLVMXN","0x19bed","Maximum relative indicated torque under open throttle body","11x1","8 Bit","-","%","0x19be2","-","RPM","-","0.75","40.0","1.0","68.25","95.25","0x5b","0x7f","-","","","Maximaler Volumenstrom bei offener Drosselklappe"
"RLVSMXN","0x19c04","Maximum relative indicated torque under open throttle body and SU","11x1","8 Bit","-","-","0x19bf9","-","RPM","-","0.75","40.0","1.0","61.5","81.0","0x52","0x6c","-","","","Maximaler Volumenstrom bei offener Drosselklappe und SU"
"NASNOTKL","0x19c14","Kennlinie für Drehzahlschwelle für Abwürgeschutz","4x1","8 Bit","-","Upm","0x19c10","-","Grad C","-","40.0","0.75","1.0","920.0","1120.0","0x17","0x1c","-","Kennlinie für Drehzahlschwelle für Abwürgeschutz","Kennlinie für Drehzahlschwelle für Abwürgeschutz","Kennlinie für Drehzahlschwelle für Abwürgeschutz"
"RLLRTMO (AR 1AC7C)","0x19f98","Characteristic curve for tmot, upper rL control limit for controller before Kat","8x1","8 Bit","-","%","0x19f90","0x19f8d","Grad C","-","0.75","0.75","1.0","50.25","177.0","0x43","0xec","-","Kennlinie über tmot, obere rL Regelgrenze für Regler vor KAT","Kennlinie über tmot, obere rL Regelgrenze für Regler vor KAT","Kennlinie über tmot, obere rL Regelgrenze für Regler vor KAT"
"CLRHKA","0x19fcf","Codeword for lambda control behind catalyst","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","Codewort für Lambda - Regelung hinter Kat","Codewort für Lambda - Regelung hinter Kat","Codewort für Lambda - Regelung hinter Kat"
"FTOMN","0x1a34b","Minimal spark start time","1x1","8 Bit","-","ms","-","-","-","-","0.1","1.0","1.0","0.5","0.5","0x5","0x5","-","minimale Öffnungszeit","minimale Öffnungszeit","minimale Öffnungszeit"
"KFSZT (AR 1B263)","0x1a41f","Map: closing time (from RPM, V)","8x8","8 Bit","-","ms","0x1a417","0x1a40f","Upm","V","0.1","40.0","0.0704","1.0","12.5","0xa","0x7d","-","Schließzeit-Kennfeld","Schließzeit-Kennfeld","Schließzeit-Kennfeld"
"KFTSRL (AR 1B2B8)","0x1a474","Map: closing time (from load, RPM)","10x9","8 Bit","-","ms","0x1a46a","0x1a461","%","Upm","0.1","0.75","40.0","1.4000000000000001","3.0","0xe","0x1e","-","Schließzeitkennfeld","Schließzeitkennfeld","Schließzeitkennfeld"
"FKVA","0x1a4d5","Constant conversion factor for consumption display","1x1","8 Bit","-","-","-","-","-","-","0.0625","1.0","1.0","1.0","1.0","0x10","0x10","-","Konstanter Umrechnungsfaktor für Verbrauchsanzeige","Konstanter Umrechnungsfaktor für Verbrauchsanzeige","Konstanter Umrechnungsfaktor für Verbrauchsanzeige"
"KVB (AR 1B32F)","0x1a4d7","Constant for fuel consumption display","1x1","8 Bit","-","cm^3/min","0x1a4d5","0x1a4cf","-","-","3.046875","1.0","1.0","319.921875","319.921875","0x69","0x69","-","Konstante für Verbrauchsanzeige","Konstante für Verbrauchsanzeige","Konstante für Verbrauchsanzeige"
"TDDHBKV (AR 1B353)","0x1a4f3","Debounce time for setting of cycle flags","1x1","8 Bit","-","s","-","-","-","-","0.1","1.0","1.0","1.0","1.0","0xa","0xa","-","Entprellzeit für Setzen des Zyklusflags","","Entprellzeit für Setzen des Zyklusflags"
"MLSLMX (AR 1B50C)","0x1a684","Maximum air mass for secondary air injection","1x1","16 Bit (LoHi)","-","kg/h","-","-","-","-","0.1","1.0","1.0","500.0","500.0","0x1388","0x1388","-","max. Motor-Luftmasse für Sekundärlufteinblasung","max. Motor-Luftmasse für Sekundärlufteinblasung","max. Motor-Luftmasse für Sekundärlufteinblasung"
"FHODSL","0x1a6de","Minimum altitude factor for DSLS","1x1","16 Bit (LoHi)","-","-","-","-","-","-","6.1E-5","1.0","1.0","0.739564","0.739564","0x2f5c","0x2f5c","Unchanged?","minimaler Höhenfaktor für DSLS","minimaler Höhenfaktor für DSLS","minimaler Höhenfaktor für DSLS"
"MLWDSLMN (1B57A)","0x1a6f0","Min. airmass for diagnosis condition","1x1","16 Bit (LoHi)","-","kg/h","-","-","-","-","0.1","1.0","1.0","10.0","10.0","0x64","0x64","-","min. Luftmasse für Bedingung Diagnose (16 Bit)","min. Luftmasse für Bedingung Diagnose (16 Bit)","min. Luftmasse für Bedingung Diagnose (16 Bit)"
"MLLASH","0x1b58e","Airmass threshold for dynamic testing behind cat","1x1","16 Bit (LoHi)","-","kg/h","-","-","-","-","0.1","1.0","1.0","20.0","20.0","0xc8","0xc8","-","Luftmassenschwelle für Schwingungsprüfung hinter KAT","Luftmassenschwelle für Schwingungsprüfung hinter KAT","Luftmassenschwelle für Schwingungsprüfung hinter KAT"
"TWDDTV (AR 1D8C6)","0x1b590","Wait time for delta-TV diagnosis (DLSA) ready-flag","1x1","16 Bit (LoHi)","-","s","-","-","-","-","0.1","1.0","1.0","100.0","100.0","0x3e8","0x3e8","-","Wartezeit für Ready-Flag der Delta-TV Diagnose (DLSA)","Wartezeit für Ready-Flag der Delta-TV Diagnose (DLSA)","Wartezeit für Ready-Flag der Delta-TV Diagnose (DLSA)"
"KFWPFGR","0x1b7ec","Inverse pedal map for cruise control","12x16","16 Bit (LoHi)","-","-","0x1b7d4","0x1b7b4","RPM","%","0.001526","0.25","0.003052","0.0","93.33779","0x0","0xeeed","-","Inverses Pedalkennfeld für FGR-Betrieb","Inverses Pedalkennfeld für FGR-Betrieb","Inverses Pedalkennfeld für FGR-Betrieb"
"KFMLDMN (AR 1E1AC, not 1E1AB)","0x1b9e2","ML: threshod for B_minflr diagnosis HFM/HLM","8x8","16 Bit (LoHi)","-","kg/h","0x1b9d2","0x1b9c2","Upm","% DK","0.1","0.25","0.024414","3.0","296.40000000000003","0x1e","0xb94","-","ML-Schwelle für B_minflr-Diagnose HFM/HLM","ML-Schwelle für B_minflr-Diagnose HFM/HLM","ML-Schwelle für B_minflr-Diagnose HFM/HLM"
"KFMLDMX (AR 13D96 NOT 13D95)","0x1ba86","ML: threshold for B_maxflr diagnosis HFM/HLM","8x8","16 Bit (LoHi)","-","kg/h","0x1ba76","0x1ba66","Upm","% DK","0.1","0.25","0.024414","25.1","1164.0","0xfb","0x2d78","-","ML-Schwelle für B_maxflr-Diagnose HFM/HLM","ML-Schwelle für B_maxflr-Diagnose HFM/HLM","ML-Schwelle für B_maxflr-Diagnose HFM/HLM"
"KFMLDMX (AR 13D96 NOT 13D95)","0x1ba86","ML: threshold for B_maxflr diagnosis HFM/HLM (g/sec)","8x8","16 Bit (LoHi)","-","kg/h","0x1ba76","0x1ba66","Upm","% DK","0.027778","0.25","0.024414","6.972278","323.33592","0xfb","0x2d78","-","ML-Schwelle für B_maxflr-Diagnose HFM/HLM","ML-Schwelle für B_maxflr-Diagnose HFM/HLM","ML-Schwelle für B_maxflr-Diagnose HFM/HLM"
"FPVMXN2 (RS4 1C00E)","0x1bb16","Factor for maximum pressure ratio with auxilliary load signal ","6x1","16 Bit (LoHi)","-","-","0x1bb0a","-","U/min","-","6.1E-5","0.25","1.0","0.999424","1.199321","0x4000","0x4ccd","-","","Faktor maximales Druckverhältnis mit Nebenlastsignal","Faktor maximales Druckverhältnis mit Nebenlastsignal"
"KFPBRK (AR 1E3B0)","0x1bb4e","Correction factor for combustion chamber pressure","10x10","16 Bit (LoHi)","-","-","0x1bb3a","0x1bb26","%","U/min","3.1E-5","0.023438","0.25","1.015808","1.039616","0x8000","0x8300","-","Korrekturfaktor für Brennraumdruck","Korrekturfaktor für Brennraumdruck","Korrekturfaktor für Brennraumdruck"
"KFPBRKNW (AR 1E4A4)","0x1bc42","Correction factor for combustion chamber pressure at NWS active","10x10","16 Bit (LoHi)","-","-","0x1bc2e","0x1bc1a","%","U/min","3.1E-5","0.023438","0.25","1.015808","1.138816","0x8000","0x8f80","-","Korrekturfaktor für Brennraumdruck bei aktiver NWS","Korrekturfaktor für Brennraumdruck bei aktiver NWS","Korrekturfaktor für Brennraumdruck bei aktiver NWS"
"KFPRG (RS4 1C226)","0x1bd2e","Internal exhaust partial pressure dependent on cam adjustment when sumode=0","10x3","16 Bit (LoHi)","-","hPa","0x1bd1a","0x1bd0e","U/min","°KW","0.039063","0.25","0.001953","35.000448","320.004096","0x380","0x2000","-","","interner Abgaspartialdruck abhängig von NW-Verstellung bei sumode=0","interner Abgaspartialdruck abhängig von NW-Verstellung bei sumode=0"
"KFPRG (RS4 1C226)","0x1bd2e","Internal exhaust partial pressure dependent on cam adjustment when sumode=0","10x3","16 Bit (LoHi)","-","hPa","0x1bd1a","0x1bd0e","U/min","°KW","0.078126","0.25","0.001953","70.000896","640.008192","0x380","0x2000","1/2 value","","interner Abgaspartialdruck abhängig von NW-Verstellung bei sumode=0","interner Abgaspartialdruck abhängig von NW-Verstellung bei sumode=0"
"KFURL (RS4 1C2C2)","0x1bdca","Conversion constant for ps->rl dependent on cam adjustment when sumode=0","10x6","16 Bit (LoHi)","-","%/hPa","0x1bdb6","0x1bdaa","U/min","°KW","5.0E-6","0.25","0.001953","0.0","0.13326000000000002","0x0","0x681c","-","","Umrechnungsfaktor von ps->rl abhängig von NW-Verstellung bei sumode=0","Umrechnungsfaktor von ps->rl abhängig von NW-Verstellung bei sumode=0"
"KFURL (RS4 1C2C2)","0x1bdca","Conversion constant for ps->rl dependent on cam adjustment when sumode=0","10x6","16 Bit (LoHi)","-","%/hPa","0x1bdb6","0x1bdaa","U/min","°KW","2.5E-6","0.25","0.001953","0.0","0.06663000000000001","0x0","0x681c","2x value","","Umrechnungsfaktor von ps->rl abhängig von NW-Verstellung bei sumode=0","Umrechnungsfaktor von ps->rl abhängig von NW-Verstellung bei sumode=0"
"DPDSVLU","0x1be44","Delta pressure value for signal comparison of pressure sensor with ambient pressure","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.039063","1.0","1.0","200.00256000000002","200.00256000000002","0x1400","0x1400","-","Delta Druckwert für Signalvergleich Ladedruck mit Umgebungsdruck","Delta Druckwert für Signalvergleich Ladedruck mit Umgebungsdruck","Delta Druckwert für Signalvergleich Ladedruck mit Umgebungsdruck"
"DPDSVLU","0x1be44","Delta pressure value for signal comparison of pressure sensor with ambient pressure","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.078126","1.0","1.0","400.00512000000003","400.00512000000003","0x1400","0x1400","1/2","Delta Druckwert für Signalvergleich Ladedruck mit Umgebungsdruck","Delta Druckwert für Signalvergleich Ladedruck mit Umgebungsdruck","Delta Druckwert für Signalvergleich Ladedruck mit Umgebungsdruck"
"DSUGRAD","0x1be68","Slope for ambient pressure sensor","1x1","16 Bit (LoHi)","-","hPa/V","-","-","-","-","0.03125","1.0","1.0","506.90625","506.90625","0x3f5d","0x3f5d","1/2","Gradient für Drucksensor Umgebung","Gradient für Drucksensor Umgebung","Gradient für Drucksensor Umgebung"
"DSUOFS","0x1be6a","Offset for ambient pressure sensor","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.039063","1.0","1.0","0.0","0.0","0x0","0x0","Unchanged, zero stock","Offset Drucksensor Umgebung","Offset Drucksensor Umgebung","Offset Drucksensor Umgebung"
"PUE","0x1be6c","Substitute value for ambient pressure","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.078126","1.0","1.0","1400.01792","1400.01792","0x4600","0x4600","1/2","Ersatzwert für Umgebungsdruck","Ersatzwert für Umgebungsdruck","Ersatzwert für Umgebungsdruck"
"PUMN","0x1be6e","Ambient pressure boundary (minimal)","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.078126","1.0","1.0","700.00896","700.00896","0x2300","0x2300","1/2","Umgebungsdruckbegrenzung minimal","Umgebungsdruckbegrenzung minimal","Umgebungsdruckbegrenzung minimal"
"PUMX","0x1be70","Ambient pressure boundary (maximal)","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.078126","1.0","1.0","2500.032","2500.032","0x7d00","0x7d00","1/2","Umgebungsdruckbegrenzung maximal","Umgebungsdruckbegrenzung maximal","Umgebungsdruckbegrenzung maximal"
"PUMX","0x1be70","Ambient pressure boundary (maximal)","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.0390625","1.0","1.0","1250.0","1250.0","0x7d00","0x7d00","1/2","Umgebungsdruckbegrenzung maximal","Umgebungsdruckbegrenzung maximal","Umgebungsdruckbegrenzung maximal"
"PUSPSMX","0x1be72","Max deviation between ambient pressure and intake pressure","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.039063","1.0","1.0","300.00384","300.00384","0x1e00","0x1e00","Unchanged?","max. Abweichung von Umgebungsdruck und Saugrohrdruck","max. Abweichung von Umgebungsdruck und Saugrohrdruck","max. Abweichung von Umgebungsdruck und Saugrohrdruck"
"PVDKMN","0x1be74","pvdk min. Schwelle für Fehlererkennung Ladedrucksensor","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.078126","1.0","1.0","800.0102400000001","800.0102400000001","0x2800","0x2800","1/2","pvdk min. Schwelle für Fehlererkennung Ladedrucksensor","pvdk min. Schwelle für Fehlererkennung Ladedrucksensor","pvdk min. Schwelle für Fehlererkennung Ladedrucksensor"
"MLMAX","0x1beb0","Maximum airflow for load calculation following SAE J1979","1x1","16 Bit (LoHi)","-","kg/h","-","-","-","-","0.1","1.0","1.0","750.0","750.0","0x1d4c","0x1d4c","-","","Maximaler Luftfluß für die Lastberechnung nach SAE J1979","Maximaler Luftfluß für die Lastberechnung nach SAE J1979"
"KFWDKMSN (AR 1E778)","0x1bef6","Map for desired throttle plate angle","6x16","16 Bit (LoHi)","-","%","0x1beea","0x1beca","U/min","kg/h","0.001526","0.25","0.1","0.0","90.009584","0x0","0xe668","-","Kennfeld für Drosselklappen-Sollwinkel","Kennfeld für Drosselklappen-Sollwinkel","Kennfeld für Drosselklappen-Sollwinkel"
"FRKAP_0_A","0x1c000","Factor fuel mass for application","1x1","8 Bit","-","-","-","-","-","-","0.007813","1.0","1.0","1.000064","1.000064","0x80","0x80","-","Faktor relative Kraftstoffmasse für Applikation","","Faktor relative Kraftstoffmasse für Applikation"
"FRKAP_1_A","0x1c001","Factor fuel mass for application","1x1","8 Bit","-","-","-","-","-","-","0.007813","1.0","1.0","1.000064","1.000064","0x80","0x80","-","Faktor relative Kraftstoffmasse für Applikation","","Faktor relative Kraftstoffmasse für Applikation"
"KFWWNS (AR 1ECB2)","0x1c01c","Repeated start time factor","8x8","8 Bit","-","-","0x1c004","0x1c014","s","Grad C","0.007813","1.0","0.75","0.398463","1.000064","0x33","0x80","-","Wiederholstartzeitfaktor","","Wiederholstartzeitfaktor"
"FKKVS (AR 1E916)","0x1c08e","Correction factor for fuel supply system","16x16","16 Bit (LoHi)","-","-","0x1c06e","0x1c05e","ms","Upm","3.1E-5","0.004","40.0","1.015808","1.015808","0x8000","0x8000","-","Korrekturfaktor Kraftstoffversorgungssystem","","Korrekturfaktor Kraftstoffversorgungssystem"
"FRLFSDP axis","0x1c290","Axis: hPa (FRLFSDP)","11x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.15625","1.0","1.0","-4687.5","3125.0","0x8ad0","0x4e20","1/2","Einspritzkorrektur bei RLFS","Einspritzkorrektur bei RLFS","Einspritzkorrektur bei RLFS"
"FRLFSDP","0x1c2a6","Injection correction during RLFS","11x1","16 Bit (LoHi)","-","-","0x1c290","-","hPa","-","3.1E-5","0.078125","1.0","1.015808","1.015808","0x8000","0x8000","-","Einspritzkorrektur bei RLFS","Einspritzkorrektur bei RLFS","Einspritzkorrektur bei RLFS"
"KRKTE (AR 1EB44)","0x1c2bc","Conversion of relative fuel mass (rk) to effective injector on time (te)","1x1","16 Bit (LoHi)","-","ms/%","-","-","-","-","1.11E-4","1.0","1.0","0.09768","0.09768","0x370","0x370","-","Umrechnung relative Kraftstoffmasse rk in effektive Einspritzzeit te","Umrechnung relative Kraftstoffmasse rk in effektive Einspritzzeit te","Umrechnung relative Kraftstoffmasse rk in effektive Einspritzzeit te"
"KRKTE (AR 1EB44)","0x1c2bc","Conversion of relative fuel mass (rk) to effective injector on time (te)","1x1","16 Bit (LoHi)","-","cc/min","-","-","-","-","307432.0","1.0","1.0","2.7054016E8","2.7054016E8","0x370","0x370","-","Umrechnung relative Kraftstoffmasse rk in effektive Einspritzzeit te","Umrechnung relative Kraftstoffmasse rk in effektive Einspritzzeit te","Umrechnung relative Kraftstoffmasse rk in effektive Einspritzzeit te"
"PSAPES","0x1c2be","Intake manifold pressure for injection application","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.039063","1.0","1.0","1013.0207790000001","1013.0207790000001","0x654d","0x654d","-","Saugrohrdruck für Applikation Einspritzung","Saugrohrdruck für Applikation Einspritzung","Saugrohrdruck für Applikation Einspritzung"
"PSAPES","0x1c2be","Intake manifold pressure for injection application","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.078126","1.0","1.0","2026.0415580000001","2026.0415580000001","0x654d","0x654d","1/2? (TODO)","Saugrohrdruck für Applikation Einspritzung","Saugrohrdruck für Applikation Einspritzung","Saugrohrdruck für Applikation Einspritzung"
"DLAMTANS","0x1c36b","Temperature dependent enrichment","4x1","8 Bit","-","-","0x1c367","-","Grad C","-","0.007813","0.75","1.0","0.0","0.0","0x0","0x0","-","Lufttemperaturabhängige Anfettung","Lufttemperaturabhängige Anfettung","Lufttemperaturabhängige Anfettung"
"-","0x1c382","Axis: driver requested relative torque (mrfa: LAMFA)","6x1","16 Bit (LoHi)","-","%","-","-","-","%","0.003052","1.0","1.0","0.500528","1.001056","0xa4","0x148","-","","",""
"LAMFA (AR 1ED52, not 1ED51)","0x1c38e","Lambda - driver desired","6x15","8 Bit","-","-","0x1c382","0x1c372","%","Upm","0.007813","0.003052","40.0","1.000064","1.000064","0x80","0x80","-","Lambda Fahrerwunsch","","Lambda Fahrerwunsch"
"LAMFA (AR 1ED52, not 1ED51)","0x1c38e","AFR - driver desired","6x15","8 Bit","-","-","0x1c382","0x1c372","%","Upm","0.1148511","0.003052","40.0","14.7009408","14.7009408","0x80","0x80","-","Lambda Fahrerwunsch","","Lambda Fahrerwunsch"
"ZKWLAFWL","0x1c3ee","Time constant weighting offset Lambda-Motor-Soll","1x1","16 Bit (LoHi)","-","%","-","-","-","-","0.001526","1.0","1.0","20.001282","20.001282","0x3333","0x3333","-","Zeitkonstante Wichtung Offset Lambda-Motor-Soll","Zeitkonstante Wichtung Offset Lambda-Motor-Soll","Zeitkonstante Wichtung Offset Lambda-Motor-Soll"
"DLBTS","0x1c4a7","Delta desired lambda for component protection","8x1","8 Bit","-","-","0x1c49f","-","%","-","0.007813","0.5","1.0","-0.281268","0.0","0xdc","0x0","-","","","Delta Lambdasoll für Bauteileschutz"
"TABGBTS","0x1c4b2","EGT threshold for component protection","1x1","16 Bit (LoHi)","-","Grad C","-","-","-","-","0.019531","1.0","1.0","499.99296000000004","499.99296000000004","0x6e00","0x6e00","-","Abgastemperaturschwelle für Bauteileschutz","Abgastemperaturschwelle für Bauteileschutz","Abgastemperaturschwelle für Bauteileschutz"
"TABGSS","0x1c514","Desired exhaust gas temperature for EGT regulation","1x1","16 Bit (LoHi)","-","grad C","-","-","-","-","0.019531","1.0","1.0","979.9868160000001","979.9868160000001","0xce00","0xce00","-","","Sollwert Abgastemperatur für Abgastemperaturregelung","Sollwert Abgastemperatur für Abgastemperaturregelung"
"TABGSS2","0x1c516","Desired exhaust gas temperature for EGT regulation Bank 2","1x1","16 Bit (LoHi)","-","grad C","-","-","-","-","0.019531","1.0","1.0","979.9868160000001","979.9868160000001","0xce00","0xce00","-","","Sollwert Abgastemperatur für Abgastemperaturregelung Bank 2","Sollwert Abgastemperatur für Abgastemperaturregelung Bank 2"
